(-47.0,-206.0)
(-33.0,-212.0)
(-23.0,-214.0)
(-8.0,-216.0)
(15.0,-216.0)
(32.0,-214.0)
(25.0,-223.0)
(39.0,-241.0)
(46.0,-245.0)
(59.0,-240.0)
(57.0,-244.0)
(70.0,-247.0)
(73.0,-254.0)
(79.0,-276.0)
(80.0,-298.0)
(93.0,-300.0)
(91.0,-279.0)
(88.0,-263.0)
(86.0,-252.0)
(84.0,-244.0)
(83.0,-239.0)
(77.0,-236.0)
(93.0,-245.0)
(112.0,-231.0)
(108.0,-213.0)
(103.0,-204.0)
(97.0,-201.0)
(81.0,-215.0)
(78.0,-216.0)
(83.0,-203.0)
(80.0,-187.0)
(73.0,-181.0)
(67.0,-177.0)
(59.0,-183.0)
(53.0,-193.0)
(63.0,-212.0)
(55.0,-209.0)
(43.0,-205.0)
(26.0,-225.0)
(44.0,-243.0)
(59.0,-239.0)
