(26.0,14.0)
(35.0,23.0)
(39.0,25.0)
(47.0,27.0)
(53.0,27.0)
(62.0,24.0)
(69.0,20.0)
(74.0,12.0)
(77.0,7.0)
(78.0,-2.0)
(77.0,-12.0)
(76.0,-17.0)
(73.0,-23.0)
(69.0,-26.0)
(64.0,-32.0)
(56.0,-33.0)
(47.0,-33.0)
(40.0,-31.0)
(36.0,-29.0)
(32.0,-27.0)
(28.0,-21.0)
(25.0,-19.0)
(23.0,-12.0)
(22.0,-5.0)
(22.0,-0.0)
(24.0,6.0)
(25.0,11.0)
(28.0,17.0)
(24.0,-9.0)
(31.0,1.0)
(31.0,-8.0)
(33.0,-15.0)
(36.0,-18.0)
(42.0,-22.0)
(48.0,-24.0)
(57.0,-23.0)
(60.0,-16.0)
(62.0,-8.0)
(63.0,1.0)
(63.0,3.0)
(68.0,-0.0)
(73.0,-5.0)
(76.0,-10.0)
