(-160.0,42.0)
(-149.0,44.0)
(-141.0,47.0)
(-119.0,51.0)
(-112.0,120.0)
(-111.0,79.0)
(-111.0,53.0)
(-81.0,57.0)
(-75.0,105.0)
(-74.0,57.0)
(-49.0,59.0)
(-44.0,144.0)
(-42.0,99.0)
(-39.0,78.0)
(-39.0,62.0)
(6.0,61.0)
(7.0,102.0)
(7.0,138.0)
(10.0,111.0)
(13.0,85.0)
(17.0,61.0)
(42.0,57.0)
(39.0,89.0)
(38.0,119.0)
(34.0,144.0)
(40.0,130.0)
(43.0,108.0)
(46.0,92.0)
(50.0,68.0)
(54.0,54.0)
(82.0,50.0)
(85.0,78.0)
(85.0,97.0)
(84.0,118.0)
(89.0,110.0)
(89.0,94.0)
(93.0,72.0)
(93.0,60.0)
(91.0,47.0)
(109.0,45.0)
(112.0,93.0)
(111.0,145.0)
(96.0,180.0)
(77.0,218.0)
